Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
LABE,B:BGRAS1X02:04,8/14/04,,From FMH 1029                                                                  ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:04,6/7/05 17:17,"JEPL, JUDU",,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:04,6/19/06 11:31,"JUDU, CAMI, CHFR",,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:04,8/24/08 15:36,"Rehlaender, Lee, Landgrebe",,14,02Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:04,6/22/09 14:55,,,15,02Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:04,6/30/10 10:16,"Mark ""Mary's Canopy"" Williams  Todd ""Devil Fire"" Erdody  Angela ""La Diabla"" Stevens",,16,02Yr02,Re02Year02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:04,5/28/13 14:29,,,17,02Yr05,02Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:05,,,,,,,Gillem,,Shrubland,,,620730,4629730,,NAD 83 Zone 10T,0,0,4/21/04,,,4089,feet,236,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0","Brush belt is 5 m. Plot burned 8/08 in Jack wildfire, no longer a control plot.",Subsample comments:  shrb30p_1 m Belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:05,5/13/04,,From FMH 1029 ,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:05,6/8/05 7:45,"JUDU, PLUM, JEPL",,3,00Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:05,6/19/06 12:19,"JUDU, CAMI, CHFR",,4,00Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
