ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIPO 04,0.61,***,***,***,***,***,***,***,***,***,0.30,-0.31,-51.23,0.16,-0.45,-73.36,0.11,-0.51,-82.79,0.43,-0.18,-29.10,0.16,-0.46,-74.59,***,***,***,***,***,***,0.07,-0.55,-89.34,0.05,-0.57,-92.62,0.04,-0.57,-93.44,0.03,-0.58,-95.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 18,0.72,0.87,0.15,20.76,0.73,0.00,0.35,***,***,***,1.19,0.47,65.05,0.20,-0.53,-73.01,0.13,-0.59,-81.66,0.33,-0.39,-54.33,0.54,-0.19,-25.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 25,0.70,***,***,***,***,***,***,***,***,***,0.56,-0.14,-19.93,0.08,-0.63,-88.97,0.15,-0.56,-79.36,0.08,-0.63,-89.32,0.05,-0.65,-92.88,0.24,-0.47,-66.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 27,0.67,0.46,-0.21,-31.72,***,***,***,***,***,***,0.18,-0.49,-73.13,0.16,-0.51,-75.75,0.10,-0.57,-84.70,0.18,-0.49,-73.13,0.30,-0.37,-55.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 28,0.41,***,***,***,***,***,***,***,***,***,0.23,-0.18,-43.56,0.19,-0.22,-54.60,0.05,-0.36,-87.12,0.07,-0.34,-83.44,0.00,-0.41,-100.00,0.18,-0.23,-55.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 29,0.62,0.59,-0.04,-5.62,0.73,0.11,16.87,***,***,***,0.93,0.31,49.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 30,0.91,***,***,***,***,***,***,***,***,***,0.68,-0.24,-26.03,0.17,-0.75,-81.64,0.04,-0.88,-96.16,0.18,-0.73,-80.27,0.04,-0.87,-95.34,0.16,-0.76,-82.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 32,0.17,***,***,***,***,***,***,***,***,***,0.21,0.04,23.88,0.01,-0.16,-92.54,0.21,0.05,26.87,0.10,-0.07,-43.28,0.03,-0.14,-83.58,0.15,-0.02,-13.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 34,1.00,0.88,-0.13,-12.50,***,***,***,***,***,***,0.78,-0.23,-22.50,0.62,-0.38,-38.00,0.44,-0.56,-55.75,0.25,-0.75,-75.25,0.69,-0.32,-31.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 01,***,***,***,***,***,***,***,***,***,***,1.10,***,***,0.12,***,***,0.15,***,***,0.18,***,***,0.18,***,***,0.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
