ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIPO 03,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,***,0.33,0.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 04,0.44,***,***,***,***,***,***,***,***,***,0.71,0.27,62.00,0.00,-0.44,-100.00,0.49,0.05,12.50,0.49,0.05,12.50,0.87,0.44,100.00,***,***,***,***,***,***,0.00,-0.44,-100.00,0.00,-0.44,-100.00,0.00,-0.44,-100.00,0.00,-0.44,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 18,0.14,0.27,0.13,89.06,0.59,0.45,312.50,***,***,***,0.25,0.11,75.87,0.00,-0.14,-100.00,0.00,-0.14,-100.00,0.00,-0.14,-100.00,0.00,-0.14,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 25,0.00,***,***,***,***,***,***,***,***,***,4.92,4.92,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,***,0.27,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 27,0.45,0.00,-0.45,-100.00,***,***,***,***,***,***,3.60,3.14,691.39,0.00,-0.45,-100.00,0.14,-0.31,-69.23,0.14,-0.31,-69.23,0.26,-0.19,-41.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 28,0.00,***,***,***,***,***,***,***,***,***,1.84,1.84,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 29,1.33,3.70,2.37,177.89,2.35,1.02,76.60,***,***,***,1.16,-0.17,-12.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 30,3.13,***,***,***,***,***,***,***,***,***,2.95,-0.18,-5.72,0.48,-2.65,-84.53,0.00,-3.13,-100.00,0.00,-3.13,-100.00,0.00,-3.13,-100.00,0.00,-3.13,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 32,0.63,***,***,***,***,***,***,***,***,***,0.00,-0.63,-100.00,0.00,-0.63,-100.00,0.00,-0.63,-100.00,0.00,-0.63,-100.00,0.00,-0.63,-100.00,0.71,0.08,12.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 34,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
