ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIPO 18,0.30,0.99,0.69,225.00,0.15,-0.16,-51.00,***,***,***,0.30,0.00,0.00,0.44,0.13,44.00,0.52,0.21,69.00,0.78,0.48,156.00,0.44,0.13,44.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 25,8.85,***,***,***,***,***,***,***,***,***,2.91,-5.95,-67.17,9.06,0.20,2.28,11.52,2.67,30.12,7.39,-1.46,-16.51,7.67,-1.18,-13.38,9.63,0.78,8.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 27,2.05,3.06,1.01,49.48,***,***,***,***,***,***,0.00,-2.05,-100.00,3.18,1.13,55.03,1.25,-0.80,-39.01,2.45,0.41,19.79,2.59,0.55,26.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 28,4.12,***,***,***,***,***,***,***,***,***,0.30,-3.82,-92.74,1.43,-2.69,-65.39,1.39,-2.73,-66.37,1.20,-2.92,-70.97,1.16,-2.96,-71.92,1.37,-2.75,-66.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 29,2.37,0.36,-2.01,-84.77,0.36,-2.01,-84.77,***,***,***,2.42,0.05,2.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 30,0.72,***,***,***,***,***,***,***,***,***,0.00,-0.72,-100.00,1.81,1.09,152.57,2.13,1.41,197.21,1.89,1.18,164.00,1.80,1.09,151.73,2.65,1.93,269.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 32,0.00,***,***,***,***,***,***,***,***,***,1.09,1.09,***,1.30,1.30,***,0.88,0.88,***,0.77,0.77,***,0.87,0.87,***,0.15,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 34,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 01,***,***,***,***,***,***,***,***,***,***,4.67,***,***,9.78,***,***,9.19,***,***,9.47,***,***,6.33,***,***,21.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 07,***,***,***,***,***,***,***,***,***,***,18.41,***,***,4.22,***,***,2.52,***,***,0.48,***,***,18.57,***,***,30.99,***,***,***,***,***,28.12,***,***,25.07,***,***,20.78,***,***,4.04,***,***,18.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
