ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIPO 04,0.30,***,***,***,***,***,***,***,***,***,0.30,0.00,0.00,0.00,-0.30,-100.00,0.00,-0.30,-100.00,0.00,-0.30,-100.00,0.00,-0.30,-100.00,***,***,***,***,***,***,0.00,-0.30,-100.00,0.00,-0.30,-100.00,0.00,-0.30,-100.00,0.30,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 18,0.31,0.31,0.00,0.00,0.91,0.61,198.61,***,***,***,0.61,0.30,97.68,0.00,-0.31,-100.00,0.31,0.00,0.00,0.00,-0.31,-100.00,0.30,0.00,-0.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 25,0.00,***,***,***,***,***,***,***,***,***,0.30,0.30,***,3.01,3.01,***,1.51,1.51,***,1.51,1.51,***,3.01,3.01,***,2.41,2.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 27,0.90,0.90,0.00,0.00,***,***,***,***,***,***,1.51,0.60,66.88,0.60,-0.30,-33.33,0.00,-0.90,-100.00,0.00,-0.90,-100.00,0.30,-0.60,-66.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 28,1.50,***,***,***,***,***,***,***,***,***,1.50,0.00,0.01,0.30,-1.20,-80.00,0.30,-1.20,-80.00,0.30,-1.20,-80.00,0.60,-0.90,-60.01,0.90,-0.60,-40.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 29,0.30,3.00,2.70,900.34,0.60,0.30,100.00,***,***,***,0.30,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 30,0.90,***,***,***,***,***,***,***,***,***,0.90,0.00,0.01,1.20,0.30,33.34,0.00,-0.90,-100.00,0.90,0.00,0.00,0.60,-0.30,-33.33,1.80,0.90,100.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 32,1.20,***,***,***,***,***,***,***,***,***,1.20,0.00,0.00,0.00,-1.20,-100.00,0.30,-0.90,-75.07,0.60,-0.60,-49.96,0.30,-0.90,-75.07,0.60,-0.60,-50.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 34,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 01,***,***,***,***,***,***,***,***,***,***,2.97,***,***,1.49,***,***,1.20,***,***,0.60,***,***,0.90,***,***,1.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
